18-Jan-2024 08:08:34.936 INFO [http-nio-8080-exec-4] org.apache.catalina.core.ApplicationContext.log Manager: init: Associated with Deployer 'Catalina:type=Deployer,host=localhost'
18-Jan-2024 08:20:27.543 INFO [http-nio-8080-exec-33] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 08:20:50.086 INFO [http-nio-8080-exec-36] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 08:20:50.086 INFO [http-nio-8080-exec-36] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 08:21:17.509 INFO [http-nio-8080-exec-31] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 08:21:17.509 INFO [http-nio-8080-exec-31] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 08:22:28.669 INFO [http-nio-8080-exec-44] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 08:22:28.669 INFO [http-nio-8080-exec-44] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 08:25:34.958 INFO [http-nio-8080-exec-49] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 08:25:34.958 INFO [http-nio-8080-exec-49] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 08:26:29.861 INFO [http-nio-8080-exec-54] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 08:26:29.862 INFO [http-nio-8080-exec-54] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 08:30:49.228 INFO [http-nio-8080-exec-68] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 08:30:49.228 INFO [http-nio-8080-exec-68] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 08:31:56.059 INFO [http-nio-8080-exec-69] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 08:31:56.059 INFO [http-nio-8080-exec-69] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 08:35:57.686 INFO [http-nio-8080-exec-76] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 08:35:57.686 INFO [http-nio-8080-exec-76] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 09:13:47.378 INFO [http-nio-8080-exec-82] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 09:13:47.378 INFO [http-nio-8080-exec-82] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 09:15:07.788 INFO [http-nio-8080-exec-92] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 09:15:07.788 INFO [http-nio-8080-exec-92] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 09:15:59.960 INFO [http-nio-8080-exec-90] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 09:15:59.960 INFO [http-nio-8080-exec-90] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 09:28:53.391 INFO [http-nio-8080-exec-102] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 09:28:53.392 INFO [http-nio-8080-exec-102] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 09:34:59.994 INFO [http-nio-8080-exec-110] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 09:34:59.994 INFO [http-nio-8080-exec-110] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 09:38:22.624 INFO [http-nio-8080-exec-121] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 09:38:22.624 INFO [http-nio-8080-exec-121] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 09:41:57.581 INFO [http-nio-8080-exec-126] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 09:41:57.581 INFO [http-nio-8080-exec-126] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 09:42:58.240 INFO [http-nio-8080-exec-133] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 09:42:58.240 INFO [http-nio-8080-exec-133] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 09:44:48.393 INFO [http-nio-8080-exec-137] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 09:44:48.393 INFO [http-nio-8080-exec-137] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 09:52:40.332 INFO [http-nio-8080-exec-142] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 09:52:40.333 INFO [http-nio-8080-exec-142] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 10:31:18.129 INFO [http-nio-8080-exec-153] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 10:31:18.129 INFO [http-nio-8080-exec-153] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 10:33:10.339 INFO [http-nio-8080-exec-162] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 10:33:10.339 INFO [http-nio-8080-exec-162] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 10:34:08.594 INFO [http-nio-8080-exec-164] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 10:34:08.594 INFO [http-nio-8080-exec-164] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 11:01:16.189 INFO [http-nio-8080-exec-174] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 11:01:16.189 INFO [http-nio-8080-exec-174] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 11:14:21.204 INFO [http-nio-8080-exec-186] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 11:14:21.205 INFO [http-nio-8080-exec-186] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 11:16:13.957 INFO [http-nio-8080-exec-194] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 11:16:13.958 INFO [http-nio-8080-exec-194] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 12:01:17.404 INFO [http-nio-8080-exec-208] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 12:01:17.404 INFO [http-nio-8080-exec-208] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 12:36:46.059 INFO [http-nio-8080-exec-214] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 12:36:46.059 INFO [http-nio-8080-exec-214] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 13:00:54.092 INFO [http-nio-8080-exec-224] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 13:00:54.092 INFO [http-nio-8080-exec-224] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 13:03:30.981 INFO [http-nio-8080-exec-231] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 13:03:30.982 INFO [http-nio-8080-exec-231] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 13:09:05.832 INFO [http-nio-8080-exec-236] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 13:09:05.832 INFO [http-nio-8080-exec-236] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 13:13:32.107 INFO [http-nio-8080-exec-246] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 13:13:32.107 INFO [http-nio-8080-exec-246] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 14:03:39.220 INFO [http-nio-8080-exec-262] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 14:03:39.221 INFO [http-nio-8080-exec-262] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 14:10:33.413 INFO [http-nio-8080-exec-272] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 14:10:33.413 INFO [http-nio-8080-exec-272] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 14:20:22.719 INFO [http-nio-8080-exec-279] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 14:20:22.719 INFO [http-nio-8080-exec-279] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 14:24:25.170 INFO [http-nio-8080-exec-286] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 14:24:25.170 INFO [http-nio-8080-exec-286] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 16:17:32.417 INFO [http-nio-8080-exec-303] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 16:17:32.418 INFO [http-nio-8080-exec-303] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 16:19:31.670 INFO [http-nio-8080-exec-306] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 16:19:31.670 INFO [http-nio-8080-exec-306] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 16:27:28.879 INFO [http-nio-8080-exec-314] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 16:27:28.880 INFO [http-nio-8080-exec-314] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 16:28:20.739 INFO [http-nio-8080-exec-316] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 16:28:20.739 INFO [http-nio-8080-exec-316] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 17:03:29.744 INFO [http-nio-8080-exec-326] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 17:03:29.744 INFO [http-nio-8080-exec-326] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 17:04:46.638 INFO [http-nio-8080-exec-335] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 17:04:46.638 INFO [http-nio-8080-exec-335] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 17:07:33.933 INFO [http-nio-8080-exec-338] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 17:07:33.933 INFO [http-nio-8080-exec-338] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 17:11:01.463 INFO [http-nio-8080-exec-345] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 17:11:01.463 INFO [http-nio-8080-exec-345] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 17:12:18.338 INFO [http-nio-8080-exec-353] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 17:12:18.338 INFO [http-nio-8080-exec-353] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 17:13:04.262 INFO [http-nio-8080-exec-332] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 17:13:04.262 INFO [http-nio-8080-exec-332] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 17:14:00.318 INFO [http-nio-8080-exec-348] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 17:14:00.319 INFO [http-nio-8080-exec-348] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 17:58:00.208 INFO [http-nio-8080-exec-364] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 17:58:00.209 INFO [http-nio-8080-exec-364] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 18:00:22.740 INFO [http-nio-8080-exec-374] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 18:00:22.740 INFO [http-nio-8080-exec-374] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 18:30:54.679 INFO [http-nio-8080-exec-379] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 18:30:54.679 INFO [http-nio-8080-exec-379] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 20:24:01.987 INFO [http-nio-8080-exec-388] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 20:24:01.988 INFO [http-nio-8080-exec-388] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 20:32:39.453 INFO [http-nio-8080-exec-404] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 20:32:39.454 INFO [http-nio-8080-exec-404] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 20:33:09.979 INFO [http-nio-8080-exec-401] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 20:33:09.979 INFO [http-nio-8080-exec-401] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 20:52:18.595 INFO [http-nio-8080-exec-411] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 20:52:18.595 INFO [http-nio-8080-exec-411] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 20:54:24.433 INFO [http-nio-8080-exec-421] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 20:54:24.433 INFO [http-nio-8080-exec-421] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 20:54:52.205 INFO [http-nio-8080-exec-423] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 20:54:52.205 INFO [http-nio-8080-exec-423] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 21:36:11.904 INFO [http-nio-8080-exec-432] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 21:36:11.905 INFO [http-nio-8080-exec-432] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 21:44:24.847 INFO [http-nio-8080-exec-439] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 21:44:24.847 INFO [http-nio-8080-exec-439] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 21:49:39.533 INFO [http-nio-8080-exec-452] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 21:49:39.533 INFO [http-nio-8080-exec-452] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 21:53:42.546 INFO [http-nio-8080-exec-459] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 21:53:42.546 INFO [http-nio-8080-exec-459] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 21:56:28.171 INFO [http-nio-8080-exec-469] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 21:56:28.171 INFO [http-nio-8080-exec-469] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 22:03:44.759 INFO [http-nio-8080-exec-479] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 22:03:44.760 INFO [http-nio-8080-exec-479] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 22:11:02.664 INFO [http-nio-8080-exec-491] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 22:11:02.664 INFO [http-nio-8080-exec-491] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
